sample_name,cluster_group,final_abund
SRR5665024,0,2.5602956475670777
SRR5665024,1,1.7969334795289453
SRR5665024,2,0
SRR5665024,3,0
SRR5665024,4,0
SRR5665024,5,2.2540388485543703
SRR5665024,6,2.945892020707258
SRR5665024,7,0
SRR5665024,8,5.017422118204584
SRR5665024,9,1.5921627866423147
SRR5665024,10,0
SRR5665024,11,0
SRR5665024,12,5.538093123451756
SRR5665024,13,0
SRR5665024,14,2.808312093316728
SRR5665024,15,0
SRR5665024,16,0
SRR5665024,17,3.7224154630338138
SRR5665024,18,0.5410460082656622
SRR5665024,19,0.8429766897948517
SRR5665024,20,0
SRR5665024,21,0
SRR5665024,22,0
SRR5665024,23,0
SRR5665024,24,0
SRR5665024,25,0
SRR5665024,26,0
SRR5665024,27,0
SRR5665024,28,0
SRR5665024,29,0
SRR5665024,30,0
SRR5665024,31,1.294340343610142
SRR5665024,32,0
SRR5665024,33,0
SRR5665024,34,0
SRR5665024,35,2.848997739961752
SRR5665024,36,0
SRR5665024,37,0
SRR5665024,38,0
SRR5665024,39,1.0169395643269925
SRR5665024,40,0.7686778264220687
SRR5665024,41,0
SRR5665024,42,0
SRR5665024,43,45.48803669766461
SRR5665024,44,0
SRR5665024,45,0
SRR5665024,46,0.4090304097748451
SRR5665024,47,1.6792147445779235
SRR5665024,48,5.1704976767330075
SRR5665024,49,31.75134935320409
SRR5665024,50,0
SRR5665024,51,38.53100498320763
SRR5665024,52,0
SRR5665024,53,2.7924420406773263
SRR5665024,54,0
SRR5665024,55,3.102402919813217
SRR5665024,56,0
SRR5665024,57,12.542286230250468
SRR5665024,58,0
SRR5665024,59,0
SRR5665024,60,0
SRR5665024,61,5.87641872032209
SRR5665024,62,0
SRR5665024,63,0
SRR5665024,64,0.6008272189150022
SRR5665024,65,0
SRR5665024,66,0.983866556211248
SRR5665024,67,0
SRR5665024,68,0
SRR5665024,69,0
SRR5665024,70,0
SRR5665024,71,3.4617598054735224
SRR5665024,72,0
SRR5665024,73,0
SRR5665024,74,0
SRR5665024,75,1.5001328337769086
SRR5665025,0,14247.143976577374
SRR5665025,1,3679.43372776128
SRR5665025,2,0
SRR5665025,3,5474.941042679697
SRR5665025,4,442.5812457600307
