opf_cluster,Comparison,Z,P.unadj,P.adj
SRR5665184_k101_10152_2,Adenoma - Cancer,-0.87784400259659,0.3800283813641569,0.3800283813641569
SRR5665184_k101_10152_2,Adenoma - Normal,-2.9805866134674943,0.0028769686740509485,0.008630906022152846
SRR5665184_k101_10152_2,Cancer - Normal,-2.102742610870904,0.0354882750836896,0.053232412625534395
SRR5665184_k101_10157_2,Adenoma - Cancer,-1.376771318776511,0.16858296092149352,0.2528744413822403
SRR5665184_k101_10157_2,Adenoma - Normal,-2.5218420985394143,0.011674209857251617,0.03502262957175485
SRR5665184_k101_10157_2,Cancer - Normal,-1.1450707797629034,0.252179838581573,0.252179838581573
SRR5665184_k101_10188_1,Adenoma - Cancer,-1.6549641762894227,0.09793176485121571,0.14689764727682358
SRR5665184_k101_10188_1,Adenoma - Normal,-2.4139460915744735,0.015780797012131944,0.04734239103639583
SRR5665184_k101_10188_1,Cancer - Normal,-0.7589819152850508,0.44786337511977586,0.44786337511977586
SRR5665184_k101_10219_1,Adenoma - Cancer,0,1,1
SRR5665184_k101_10219_1,Adenoma - Normal,-2.292743182578396,0.021862794845278814,0.03279419226791822
SRR5665184_k101_10219_1,Cancer - Normal,-2.292743182578396,0.021862794845278814,0.06558838453583644
SRR5665184_k101_10219_2,Adenoma - Cancer,-1.1340494687078142,0.25677379807700956,0.25677379807700956
SRR5665184_k101_10219_2,Adenoma - Normal,-2.7990074466514527,0.005125995528868727,0.01537798658660618
SRR5665184_k101_10219_2,Cancer - Normal,-1.6649579779436383,0.09592113982879479,0.14388170974319217
SRR5665184_k101_10252_3,Adenoma - Cancer,-1.0008965813368336,0.3168768095016854,0.3168768095016854
SRR5665184_k101_10252_3,Adenoma - Normal,-2.5022414533420836,0.012340972731381216,0.03702291819414365
SRR5665184_k101_10252_3,Cancer - Normal,-1.5013448720052498,0.13326638461317677,0.19989957691976518
SRR5665184_k101_1027_2,Adenoma - Cancer,-1.0597391240554803,0.28926329844799514,0.28926329844799514
SRR5665184_k101_1027_2,Adenoma - Normal,-2.6428062106074948,0.008222207994448264,0.024666623983344793
SRR5665184_k101_1027_2,Cancer - Normal,-1.5830670865520144,0.11340617445623671,0.17010926168435508
SRR5665184_k101_10337_1,Adenoma - Cancer,-0.4233478798609673,0.6720414658323303,0.6720414658323303
SRR5665184_k101_10337_1,Adenoma - Normal,-3.062516577717644,0.002194843178229163,0.006584529534687489
SRR5665184_k101_10337_1,Cancer - Normal,-2.6391686978566766,0.008310961239485602,0.012466441859228402
SRR5665184_k101_10337_3,Adenoma - Cancer,-2.3783951864285724,0.017388179494643535,0.0260822692419653
SRR5665184_k101_10337_3,Adenoma - Normal,-2.831290531507845,0.004636058877076299,0.013908176631228897
SRR5665184_k101_10337_3,Cancer - Normal,-0.4528953450792724,0.6506241030036084,0.6506241030036084
SRR5665184_k101_10419_1,Adenoma - Cancer,0.5012549161015657,0.6161917299498749,0.6161917299498749
SRR5665184_k101_10419_1,Adenoma - Normal,-2.051720432987154,0.040196839808647744,0.060295259712971616
SRR5665184_k101_10419_1,Cancer - Normal,-2.55297534908872,0.01068070552041107,0.03204211656123321
SRR5665184_k101_10667_1,Adenoma - Cancer,-0.5016934055754952,0.6158832038997073,0.6158832038997073
SRR5665184_k101_10667_1,Adenoma - Normal,-2.598322563204428,0.00936804468655809,0.028104134059674272
SRR5665184_k101_10667_1,Cancer - Normal,-2.0966291576289326,0.03602641609063898,0.054039624135958475
SRR5665184_k101_11072_1,Adenoma - Cancer,-2.2636472418528206,0.023595819778194985,0.07078745933458495
SRR5665184_k101_11072_1,Adenoma - Normal,-1.9631142950051261,0.04963289488872966,0.0744493423330945
SRR5665184_k101_11072_1,Cancer - Normal,0.30053294684769455,0.7637706692695494,0.7637706692695494
SRR5665184_k101_11138_1,Adenoma - Cancer,-2.4326825705487933,0.014987433599624471,0.044962300798873416
SRR5665184_k101_11138_1,Adenoma - Normal,-2.1450342936257942,0.031950105177979686,0.047925157766969526
SRR5665184_k101_11138_1,Cancer - Normal,0.28764827692299927,0.7736159862740748,0.7736159862740748
SRR5665184_k101_11188_2,Adenoma - Cancer,-2.659670387678489,0.007821715597843329,0.023465146793529984
SRR5665184_k101_11188_2,Adenoma - Normal,-2.441527075124417,0.01462529160640385,0.021937937409605774
SRR5665184_k101_11188_2,Cancer - Normal,0.21814331255407216,0.8273174513787237,0.8273174513787237
SRR5665184_k101_11291_1,Adenoma - Cancer,-1.6983569117684942,0.08944041928787631,0.13416062893181446
SRR5665184_k101_11291_1,Adenoma - Normal,-2.4916683639761454,0.012714469157296637,0.038143407471889906
SRR5665184_k101_11291_1,Cancer - Normal,-0.7933114522076513,0.42759638613370143,0.42759638613370143
SRR5665184_k101_11386_1,Adenoma - Cancer,-0.053803441041045036,0.9570917679384499,0.9570917679384499
SRR5665184_k101_11386_1,Adenoma - Normal,-2.2543641796197624,0.024173266818325732,0.07251980045497719
SRR5665184_k101_11386_1,Cancer - Normal,-2.2005607385787176,0.027767135612678562,0.041650703419017845
SRR5665184_k101_11568_2,Adenoma - Cancer,-2.532646706376912,0.011320498682738883,0.016980748024108323
SRR5665184_k101_11568_2,Adenoma - Normal,-2.73569747156856,0.006224822492095997,0.018674467476287992
SRR5665184_k101_11568_2,Cancer - Normal,-0.20305076519164808,0.8390953536947338,0.8390953536947338
SRR5665184_k101_11606_1,Adenoma - Cancer,-2.473211813437912,0.013390475292134272,0.040171425876402815
SRR5665184_k101_11606_1,Adenoma - Normal,-1.806711525184043,0.07080726975553668,0.10621090463330501
SRR5665184_k101_11606_1,Cancer - Normal,0.6665002882538692,0.5050913794930924,0.5050913794930924
SRR5665184_k101_11697_2,Adenoma - Cancer,-1.2852120897058192,0.19871818005324302,0.19871818005324302
SRR5665184_k101_11697_2,Adenoma - Normal,-2.8784775926658694,0.003995996674665112,0.011987990023995336
SRR5665184_k101_11697_2,Cancer - Normal,-1.5932655029600504,0.11110064209633265,0.16665096314449898
SRR5665184_k101_1178_1,Adenoma - Cancer,-1.4110653374149156,0.15822534946502995,0.15822534946502995
SRR5665184_k101_1178_1,Adenoma - Normal,-3.0065471347692077,0.002642330854275786,0.007926992562827358
SRR5665184_k101_1178_1,Cancer - Normal,-1.5954817973542923,0.11060453730203874,0.16590680595305812
SRR5665184_k101_11875_2,Adenoma - Cancer,-1.9621466763290591,0.049745410010344104,0.07461811501551616
SRR5665184_k101_11875_2,Adenoma - Normal,-2.586040691060079,0.009708546838365802,0.029125640515097407
SRR5665184_k101_11875_2,Cancer - Normal,-0.6238940147310198,0.5326971912810597,0.5326971912810597
SRR5665184_k101_11949_2,Adenoma - Cancer,0.7500121185441544,0.4532474060923688,0.4532474060923688
SRR5665184_k101_11949_2,Adenoma - Normal,-2.134649875856441,0.03278962016130379,0.04918443024195568
SRR5665184_k101_11949_2,Cancer - Normal,-2.8846619944005956,0.0039183410797161995,0.011755023239148598
SRR5665184_k101_11998_4,Adenoma - Cancer,-1.3763748523674415,0.16870560950752173,0.2530584142612826
SRR5665184_k101_11998_4,Adenoma - Normal,-2.6387554684958623,0.008321097823340281,0.024963293470020843
SRR5665184_k101_11998_4,Cancer - Normal,-1.262380616128421,0.20681186076611166,0.20681186076611166
SRR5665184_k101_12159_6,Adenoma - Cancer,-1.4486286279502982,0.14744132193621373,0.2211619829043206
SRR5665184_k101_12159_6,Adenoma - Normal,-2.5921381331254865,0.009538146581929806,0.028614439745789415
SRR5665184_k101_12159_6,Cancer - Normal,-1.1435095051751882,0.252827110527037,0.252827110527037
SRR5665184_k101_12204_1,Adenoma - Cancer,-0.7749101521688673,0.4383927527642776,0.4383927527642776
SRR5665184_k101_12204_1,Adenoma - Normal,-2.5873033179853104,0.009673040093068035,0.029019120279204107
SRR5665184_k101_12204_1,Cancer - Normal,-1.8123931658164432,0.069925468078453,0.10488820211767949
SRR5665184_k101_12221_1,Adenoma - Cancer,2.7955077778557857,0.005181825490308033,0.015545476470924099
SRR5665184_k101_12221_1,Adenoma - Normal,0.6249775696716854,0.5319857797171197,0.5319857797171197
SRR5665184_k101_12221_1,Cancer - Normal,-2.1705302081841005,0.02996670274552808,0.04495005411829212
SRR5665184_k101_12322_6,Adenoma - Cancer,-1.904706925257257,0.05681817829343878,0.08522726744015817
SRR5665184_k101_12322_6,Adenoma - Normal,-2.654613993135488,0.00793992075807987,0.023819762274239608
SRR5665184_k101_12322_6,Cancer - Normal,-0.749907067878231,0.45331067738528247,0.45331067738528247
SRR5665184_k101_12338_1,Adenoma - Cancer,-2.7820832643977518,0.00540111810673656,0.016203354320209678
SRR5665184_k101_12338_1,Adenoma - Normal,-1.5854290158857358,0.11286889297395802,0.16930333946093704
SRR5665184_k101_12338_1,Cancer - Normal,1.196654248512016,0.23144134654589263,0.23144134654589263
SRR5665184_k101_12618_1,Adenoma - Cancer,-0.41897795393698434,0.6752322443915152,0.6752322443915152
SRR5665184_k101_12618_1,Adenoma - Normal,-3.6733648519591444,2.3937730880274852e-4,7.181319264082456e-4
SRR5665184_k101_12618_1,Cancer - Normal,-3.2543868980221604,0.0011363739949885958,0.0017045609924828938
SRR5665184_k101_12690_3,Adenoma - Cancer,-1.7908853771403448,0.07331169072106258,0.10996753608159388
SRR5665184_k101_12690_3,Adenoma - Normal,-2.5121761186225977,0.011998918977123598,0.03599675693137079
SRR5665184_k101_12690_3,Cancer - Normal,-0.721290741482253,0.47073065215689636,0.47073065215689636
SRR5665184_k101_13026_1,Adenoma - Cancer,-1.0358989610963434,0.30024928236166026,0.30024928236166026
