Overall,kegg_id,run
0,K01361,1
0,K01362,1
0,K02249,1
1.1102230246251565e-16,K05841,1
0,K05844,1
0,K05845,1
0,K05846,1
0,K05847,1
0.1736812540110224,K00508,1
0,K00500,1
-0.5005007512521915,K00507,1
0,K00505,1
0,K01101,1
0,K01103,1
0,K01104,1
0,K05592,1
0,K05593,1
0.5005007512521915,K05590,1
0,K05591,1
0,K05596,1
0,K05597,1
0,K05594,1
0,K05595,1
0.3382568840909414,K05599,1
0.5005007512521914,K11962,1
0,K14540,1
0,K02456,1
-0.5005007512521914,K02457,1
0,K02454,1
0,K02455,1
0,K02452,1
0,K02453,1
0,K02450,1
-0.20110050494066514,K02103,1
-0.341043030167874,K08138,1
0,K02108,1
0,K02109,1
0,K02458,1
0,K02459,1
-0.2232033324111831,K03851,1
0,K03852,1
-0.5005007512521915,K03855,1
0,K03856,1
0,K13018,1
0.49273081431514,K13019,1
-0.2516198646940135,K13010,1
0.35340986885769843,K13012,1
0,K13013,1
0,K13014,1
0,K13015,1
0,K13016,1
0,K13017,1
0.24128635097006684,K08567,1
0,K13275,1
0,K13276,1
0,K03274,1
-0.5005007512521914,K03271,1
0.5005007512521915,K03270,1
1.1185368139653722,K03273,1
0,K03272,1
0,K03279,1
0,K12270,1
0,K07552,1
0,K09909,1
0,K09908,1
0,K12051,1
0,K12050,1
0,K12057,1
0,K12056,1
0,K06221,1
-0.02710662566028993,K09900,1
0,K09903,1
0,K09902,1
0,K09904,1
0,K09907,1
0,K09906,1
0,K00773,1
0,K00772,1
0,K06313,1
0,K06315,1
0,K05574,1
-0.16405124714721298,K10201,1
0,K07177,1
0,K07175,1
0,K07172,1
0,K07173,1
0,K07170,1
0,K07171,1
0,K07178,1
0,K00194,1
0.5005007512521915,K00197,1
1.6925234432135166,K00190,1
0.07657694944997417,K00198,1
-0.28286710026897244,K06405,1
0,K10109,1
0,K10108,1
-0.5005007512521915,K10107,1
0,K01828,1
0,K01829,1
0,K01826,1
0,K01825,1
-0.5005007512521914,K01822,1
-0.5005007512521915,K01823,1
0,K01820,1
0,K01821,1
0,K00998,1
-0.5005007512521915,K00995,1
0,K00997,1
0,K00996,1
0,K00991,1
0,K00990,1
0,K00992,1
0,K11028,1
0,K02622,1
0,K03564,1
0,K13489,1
0.5005007512521915,K13488,1
0,K13483,1
0,K13482,1
0.5005007512521915,K13481,1
-0.7147978225269516,K13480,1
0,K13487,1
-0.5005007512521914,K13486,1
0,K14682,1
0,K08358,1
-0.5005007512521915,K08357,1
0,K03469,1
0,K03464,1
0,K03465,1
0,K03466,1
0,K01648,1
0,K01649,1
-1.1102230246251565e-16,K01643,1
0,K01640,1
0,K01641,1
-0.5005007512521915,K01646,1
0,K01647,1
0,K01644,1
0,K02597,1
0,K02626,1
0,K02595,1
-1.1102230246251565e-16,K02594,1
0,K02593,1
0.5005007512521914,K02592,1
0,K02591,1
0,K02590,1
-1.2525790221380104,K02598,1
1.001001502504383,K02849,1
-1.1102230246251565e-16,K14062,1
0,K14067,1
0,K02841,1
0,K02840,1
0,K02843,1
0.5005007512521914,K02844,1
-0.31452552862910266,K02102,1
