"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00014",0.553992212301399,0.497135271483764,0.84204137670692,"Lachnospiraceae"
"Otu00021",0.550772518324244,0.491365421325895,0.719359001528543,"Ruminococcus"
"Otu00010",0.54119277201018,0.478182726207282,0.607679041290108,"Anaerostipes"
"Otu00004",0.535301260006605,0.490035138675902,0.620435732959348,"Bacteroides"
"Otu00167",0.528338496893463,0.471224139821311,0.678946804310212,"Clostridiales"
"Otu00009",0.518097355032461,0.456128330117066,0.623856993089986,"Blautia"
"Otu00028",0.51768147879991,0.467292247628619,0.842347511122272,"Ruminococcaceae"
"Otu00008",0.514920291236142,0.458252319774552,0.631285115359976,"Blautia"
"Otu00007",0.51431155013875,0.473916609824658,0.613864422664101,"Faecalibacterium"
"Otu00006",0.513577815700611,0.464650944510355,0.734227132513337,"Bacteroides"
"Otu00015",0.507332228670465,0.443664165409659,0.648789303812686,"Clostridiales"
"Otu00013",0.495715854399439,0.452539020596508,0.554861567125575,"Faecalibacterium"
"Otu00024",0.49434719225946,0.439732102610245,0.562421685196239,"Blautia"
"Otu00001",0.490139866539522,0.443782007171777,0.534036803657393,"Blautia"
"Otu00020",0.488432971041318,0.434252474869665,0.645418199834199,"Enterobacteriaceae"
"Otu00095",0.48144565155492,0.415342629339792,0.547695157795919,"Roseburia"
"Otu00033",0.477604359828894,0.437510465681286,0.546575285851983,"Streptococcus"
"Otu00038",0.468993239319334,0.433033305763401,0.582274545047663,"Bacteroides"
"Otu00046",0.468729547589631,0.416732230119113,0.511172217395813,"Roseburia"
"Otu00041",0.464660878302667,0.430932470703175,0.514225639864532,"Clostridium_XI"
"Otu00072",0.464596808524764,0.410382616602917,0.552801736183473,"Lachnospiraceae"
"Otu00002",0.463698379329483,0.423298997306188,0.51894633062645,"Bacteroides"
"Otu00107",0.463698026524743,0.406842665071095,0.531319577660524,"Roseburia"
"Otu00036",0.462457176437461,0.410592682589412,0.531402827989228,"Clostridium_XlVa"
"Otu00018",0.457375167740569,0.422208013281256,0.512788352057197,"Ruminococcaceae"
"Otu00011",0.454872481659509,0.41106948508224,0.495908170627667,"Parabacteroides"
"Otu00151",0.454665510171895,0.42529827304473,0.495189555237772,"Subdoligranulum"
"Otu00003",0.452567720924434,0.403737025676842,0.521686478747702,"Anaerostipes"
"Otu00074",0.451577736351582,0.414531557233784,0.50547492046694,"Dorea"
"Otu00025",0.450043661181333,0.392310163319138,0.506163770795305,"Dorea"
"Otu00005",0.447193979766855,0.407779509177757,0.498874884579262,"Roseburia"
"Otu00249",0.446798678107713,0.392205017705957,0.55922318305068,"Clostridium_IV"
"Otu00092",0.442966024949158,0.395245614648269,0.509904293540756,"Ruminococcaceae"
