ID#	7
Name	acetate
	Data Filename	Sample ID	Sample Name	Ret. Time	Area	Relative Retention Time	Peak Start	Peak End	Height	Std. Conc.	Conc.	T.Plate#	Width(5%)	Width(50%)
1	2017-06-12_000.lcd	BLANK	No injection	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
2	2017-06-12_001.lcd	STD-0111	40 mM Mix	15.635	156886	1.000	15.000	16.942	7201	-----	53.00319	12704.980	0.771	0.321
3	2017-06-12_002.lcd	STD-0112	20 mM Mix	15.632	77013	1.000	14.992	16.875	3536	-----	26.01858	12673.253	0.769	0.321
4	2017-06-12_003.lcd	STD-0113	10 mM Mix	15.631	38095	1.000	14.933	16.500	1774	-----	12.87030	12827.224	0.756	0.320
5	2017-06-12_004.lcd	STD-0114	5 mM Mix	15.634	18651	1.000	15.075	16.392	884	-----	6.30128	12940.609	0.738	0.318
6	2017-06-12_005.lcd	STD-0115	2.5 mM Mix	15.636	9200	1.000	15.150	16.200	442	-----	3.10821	13206.827	0.724	0.316
7	2017-06-12_006.lcd	STD-0116	1 mM Mix	15.634	3373	1.000	15.150	16.192	162	-----	1.13965	13260.091	0.721	0.315
8	2017-06-12_007.lcd	STD-0117	0.5 mM Mix	15.650	1640	1.000	15.275	16.075	83	-----	0.55401	13988.131	0.647	0.310
9	2017-06-12_008.lcd	STD-0118	0.25 mM Mix	15.642	820	1.000	15.325	16.058	42	-----	0.27712	13727.279	0.629	0.313
10	2017-06-12_009.lcd	STD-0119	0.1 mM Mix	15.651	286	1.000	15.383	15.992	16	-----	0.09674	17302.258	0.556	0.280
11	2017-06-12_010.lcd	BLANK	Water	-----	-----		-----	-----	-----	-----	-----	-----	-----	-----
12	2017-06-12_011.lcd	P1-A03		15.635	54294	1.000	14.983	16.792	2018	-----	18.34299	10320.976	1.081	0.355
13	2017-06-12_012.lcd	P1-A05		15.636	50350	1.000	14.892	16.525	2005	-----	17.01046	11298.332	1.065	0.339
14	2017-06-12_013.lcd	P1-A07		15.639	34009	1.000	15.058	16.600	1433	-----	11.48989	11555.425	0.977	0.335
15	2017-06-12_014.lcd	P1-A08		15.631	30723	1.000	14.767	16.492	1234	-----	10.37945	11382.503	1.124	0.337
